proverb_id,kikuyu_text,expert_translation,expert_cultural_meaning,openai_literal,openai_proverb,openai_reasoning,openai_confidence,openai_time,cohere_literal,cohere_proverb,cohere_reasoning,cohere_confidence,cohere_time,nllb_literal,nllb_proverb,nllb_confidence,nllb_time,google_literal,google_proverb,google_time,timestamp
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,Whoever has much always wants more.,It does not grow old like a big tree.,A good deed never goes unnoticed.,"The Kikuyu proverb uses the imagery of a tree, which symbolizes strength and longevity, to convey the idea that certain actions or qualities endure over time, much like a tree that stands tall and strong. The English equivalent captures the essence of recognition and the lasting impact of positive actions, aligning with the cultural value placed on good deeds in both societies. The transformation from a literal tree to the concept of good deeds reflects a shift from a natural metaphor to a more universally understood moral lesson.",0.8,5.651250839233398,Aikaragia mbia ta njuu ngigi: Let the teeth that are above speak.,Let those in authority or with more knowledge lead the way.,"The Kikuyu proverb uses the imagery of teeth, which are essential for speaking and eating, to represent those in positions of power or with greater wisdom. In Kikuyu culture, the teeth are a symbol of strength, wisdom, and leadership. The proverb encourages listeners to follow the guidance of those who are more experienced or knowledgeable, similar to how one would listen to the 'voice' of the teeth, which are necessary for clear speech. The English translation captures this idea by emphasizing the role of leaders or experts in setting the direction for the community.",0.95,3.9203970432281494,He was a man of many talents.,He was a man of many talents.,0.85,1.3443629741668701,Aikharia mbia ta njigi.,Aikharia mbia ta njigi.,0.9145081043243408,2025-10-10T01:59:13.567222
MW_002,Andu ni indo.,People are wealth.,,People are things.,People are what matter.,"The Kikuyu proverb 'Andu ni indo' emphasizes the intrinsic value of people, suggesting that individuals are as important as material possessions or resources. The literal translation captures the starkness of the original phrase, while the proverb translation conveys the deeper cultural understanding that relationships and community are paramount in Kikuyu culture. This transformation reflects a shift from a potentially negative connotation of viewing people as mere objects to a positive affirmation of their significance in life.",0.9,3.0826239585876465,Andu ni indo. (Kikuyu) ->  Hand is fire. (English),A helping hand is worth more than a warm fire.,"The Kikuyu proverb 'Andu ni indo' uses a metaphorical comparison between the hand and fire. In a literal sense, fire provides warmth, light, and protection, much like a helping hand can offer support, guidance, and assistance. The English proverb maintains the core idea of the original, emphasizing the value of practical help over mere comfort or entertainment.",0.9,5.726745128631592,People are things.,People are things.,0.85,1.1077539920806885,And touch it indo.,And touch it indo.,0.8918290138244629,2025-10-10T01:59:24.378170
MW_003,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy,,The land is a pot that does not overflow with things.,A land that is well-managed will not run out of resources.,"The Kikuyu proverb uses the imagery of a pot to symbolize the land and its resources, suggesting that proper management and care can prevent scarcity. The natural English equivalent captures the essence of stewardship and sustainability, emphasizing the importance of responsible use of resources. This transformation reflects the cultural value placed on land and its management in Kikuyu society.",0.9,3.0075159072875977,Bururi (a type of ant) uri (with) ngui (stings) ndungiciarikira (it doesn't sting) indo (people).,Even an ant doesn't sting without reason.,"This proverb emphasizes the idea that even the smallest or seemingly harmless things can have a powerful impact if provoked. In Kikuyu culture, ants are known for their ability to deliver painful stings despite their size. The proverb encourages prudence and understanding that actions, no matter how small, can have consequences. The English translation captures this idea by stating that even an ant, a seemingly insignificant creature, won't sting unless there's a reason, mirroring the cautionary tone of the original Kikuyu proverb.",0.9,16.235400915145874,Sleeping with a dog is not a good thing.,Sleeping with a dog is not a good thing.,0.85,1.4374480247497559,Burundi and I am telling us a god.,Burundi and I am telling us a god.,1.340662956237793,2025-10-10T01:59:46.400401
MW_004,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy.,Political stability facilitates wealth.,A country is like a tree that does not forget its roots.,A nation that forgets its history is doomed to repeat it.,"The Kikuyu proverb emphasizes the importance of remembering one's origins and cultural heritage, likening a country to a tree that draws strength and identity from its roots. The English equivalent captures the essence of this idea by highlighting the consequences of forgetting history, which resonates with the same theme of cultural memory and identity. Both expressions convey the significance of understanding and honoring one's background to ensure a prosperous future.",0.9,3.285693883895874,Bururi (a type of ant) uri (that) ngui (bites) ndungiciarikira (the one who is sleeping) indo (on the path).,Even the smallest insect can wake up the deepest sleeper.,The Kikuyu proverb highlights the power of even the smallest or seemingly insignificant things (represented by the ant) to disrupt or influence those who are complacent or unaware (the sleeper on the path). The English equivalent maintains the idea of something small having a significant impact on someone who is not paying attention or is complacent.,0.9,23.697798252105713,Sleeping with a dog is not a good thing.,Sleeping with a dog is not a good thing.,0.85,0.8527421951293945,Burundi and I am telling us a god.,Burundi and I am telling us a god.,0.9078059196472168,2025-10-10T02:00:15.194860
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,A poor man is unable to obtain any more than he possesses.,The thing that is tasted is not forgotten in the heart/it does not fade away.,What you experience stays with you.,"The Kikuyu proverb emphasizes the lasting impact of experiences, particularly those that are deeply felt or significant. The literal translation highlights the idea that once something is truly experienced ('tasted'), it leaves a lasting impression ('not forgotten in the heart'). The English equivalent captures the essence of this sentiment, conveying that meaningful experiences shape our memories and identities. This transformation reflects the cultural understanding that personal experiences are integral to one's life and cannot be easily erased.",0.9,3.809075117111206,A thorn that pricks you is in your heart/near your skin.,A problem close to home is felt most deeply.,The Kikuyu proverb uses the imagery of a thorn physically piercing one's heart or skin to metaphorically describe a problem or issue that is very personal and close. The English translation captures this idea by expressing that issues affecting us directly are felt most acutely. The transformation moves from a literal physical description to a more abstract emotional and experiential one.,0.9,8.840954303741455,The brightness is not left alive/untouched.,The brightness is not left alive/untouched.,0.85,1.6101467609405518,You have you do it.,You have you do it.,1.159092903137207,2025-10-10T02:00:30.615314
MW_006,Cia thuguri itiyuragia ikumbi,Bought things do not fill the granary.,One must work hard to achieve wealth.,The things of the house do not leave the homestead,What happens at home stays at home,"The Kikuyu proverb emphasizes the importance of privacy and discretion within the family or household. It suggests that matters that occur within a home should not be shared outside, reflecting a cultural value of loyalty and protection of family reputation. The English equivalent captures this sentiment of confidentiality and the idea that personal family matters should remain private, aligning with similar cultural values in many societies.",0.9,2.7259349822998047,A pot that sings before it boils,Don't count your chickens before they hatch / Don't get ahead of yourself,"The Kikuyu proverb 'Cia thuguri itiyuragia ikumbi' literally describes a pot singing before it boils, which is impossible. This is metaphorically compared to acting prematurely or expecting results before the necessary work is done. In English, the proverb is often expressed as 'Don't count your chickens before they hatch' or 'Don't get ahead of yourself', both capturing the idea of patience and not assuming success before it is certain.",0.9,3.5838701725006104,The robbers do not fill the room,The robbers do not fill the room,0.85,1.3906481266021729,Cia thuguri itiyuragia ikumbi,Cia thuguri itiyuragia ikumbi,0.32814741134643555,2025-10-10T02:00:38.645044
MW_007,Ciira muingi/munene ni ukia.,A long lawsuit brings poverty.,Be quick to forgive.,A lot of noise is a sign of trouble.,"Where there's smoke, there's fire.","The Kikuyu proverb suggests that excessive noise or commotion often indicates underlying issues or problems. The English equivalent captures a similar sentiment, implying that signs of trouble often accompany significant issues. Both expressions reflect a cultural understanding that disturbances or signals often point to deeper realities, emphasizing the importance of paying attention to warning signs.",0.9,3.2097651958465576,A single finger/toe cannot catch a louse,You can't do it alone; it takes a village.,"This proverb emphasizes the importance of community and collective effort.  While the literal translation focuses on the physical impossibility of a single finger catching a louse (a small, fast-moving insect), the English equivalent highlights the broader idea that many tasks are too large or complex for one person to handle alone. The 'village' metaphor evokes a sense of shared responsibility and mutual support, reflecting Kikuyu cultural values.",0.9,6.492351055145264,The most important sentence is ukia.,The most important sentence is ukia.,0.85,1.356081247329712,Your rules/where are.,Your rules/where are.,1.4210951328277588,2025-10-10T02:00:51.125489
MW_008,Ciringi imurikagwo na ingi.,"To get money, you have to spend money.","Use money, make money.",A single tree does not make a forest.,It takes a village to raise a child.,"The Kikuyu proverb emphasizes the importance of community and collaboration, suggesting that individual efforts alone are insufficient for achieving greater goals. The English equivalent captures a similar sentiment about the necessity of collective support and involvement in nurturing and development. Both proverbs highlight the value of interconnectedness and teamwork in achieving success.",0.9,3.7356200218200684,Ciringi (spear) imurikagwo (that is sharp) na (and) ingi (it pierces).,A sharp spear pierces deeply.,"The Kikuyu proverb 'Ciringi imurikagwo na ingi' directly translates to 'A spear that is sharp and pierces'. The imagery of a sharp spear piercing deeply is maintained in the English translation. This proverb emphasizes the importance of being well-prepared, skilled, or potent, akin to a sharp spear that can effectively penetrate obstacles or adversaries. In Kikuyu culture, the spear is a symbol of strength, protection, and hunting prowess, and the proverb underscores the value of possessing and utilizing such effectiveness in various aspects of life.",0.95,3.8114569187164307,The circle is illuminated by other light.,The circle is illuminated by other light.,0.85,1.4804179668426514,Blessed is the savior and a lot.,Blessed is the savior and a lot.,1.7942380905151367,2025-10-10T02:01:01.948431
MW_009,Gicigo kia mugunda gitinyihaga.,A piece of land is not a little thing.,"Life has no rest, only toil.",The crop of the farm does not lie.,The truth will always come to light.,"The Kikuyu proverb emphasizes the idea that the results of one's efforts or the reality of a situation cannot be hidden or denied. In the cultural context, it suggests that hard work and honesty will eventually reveal the truth, much like how a farmer's harvest reflects their labor. The English equivalent captures this essence by conveying that the truth will ultimately be revealed, regardless of attempts to conceal it. Both versions highlight the importance of authenticity and the inevitability of truth, but the proverb translation uses a more familiar idiomatic expression for English speakers.",0.9,5.928380250930786,The chicken's comb makes it stand out.,What sets you apart makes you unique and valuable.,"The Kikuyu proverb uses the image of a chicken's distinctive comb to illustrate how individual differences and characteristics can be a source of strength and value. In English, we might say that what makes someone unique is also what makes them special or valuable. The transformation from the literal to the idiomatic involves moving from a specific visual metaphor to a more general statement about individuality and worth.",0.9,2.9556641578674316,The mountain is trembling.,The mountain is trembling.,0.85,1.3035991191864014,Gicigo Kia Mugunda Gitinyiwa.,Gicigo Kia Mugunda Gitinyiwa.,1.2427780628204346,2025-10-10T02:01:13.566735
MW_010,Githaka ni ngwatira.,Land is inalienable (from the clan).,Owning property is a right.,The path is not straight.,Life is full of twists and turns.,"The Kikuyu proverb 'Githaka ni ngwatira' suggests that the journey of life is not straightforward, implying that one must navigate through challenges and obstacles. The literal translation captures the imagery of a winding path, while the proverb translation conveys the broader cultural understanding that life is unpredictable and requires adaptability. This transformation maintains the essence of the original message while making it relatable to an English-speaking audience.",0.9,5.388113737106323,Githaka is a leader.,The early bird catches the worm.,"The Kikuyu proverb 'Githaka ni ngwatira' translates literally to 'Githaka is a leader.' Githaka refers to a type of bird in the Kikuyu language. The proverb highlights the advantage of being proactive and taking the initiative, much like how an early bird would catch the worm before others. In English, 'The early bird catches the worm' is a well-known proverb that conveys a similar message about the benefits of starting early or being proactive.",0.9,3.144886016845703,The soil is a pothole.,The soil is a pothole.,0.85,2.2703628540039062,Githaka is my beter.,Githaka is my beter.,1.719416856765747,2025-10-10T02:01:26.091093
