proverb_id,kikuyu_text,expert_translation,expert_cultural_meaning,og_rag_translation,og_rag_cultural_meaning,og_rag_business_relevance,og_rag_confidence,og_rag_time,raw_llm_translation,raw_llm_reasoning,raw_llm_confidence,raw_llm_time,nllb_translation,nllb_metadata,nllb_time,google_translation,google_time,generation_timestamp,processing_order
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,,"```json
{
    ""translation"": ""One does not hide a fire like a secret."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of transparency and openness in communication. In Kikuyu culture, it signifies that certain truths or valuable knowledge should not be concealed, as they can benefit the community. It reflects the belief that sharing knowledge fosters trust and collaboration."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb highlights the necessity of transparency in operations and decision-making. Just as a fire cannot be hidden without consequences, businesses that operate in secrecy may face mistrust and missed opportunities. Open communication and sharing of ideas can lead to innovation and stronger partnerships."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,5.998203992843628,One does not go back to the place they have already passed.,"This translation captures the essence of the proverb, which suggests that once a person has moved on from a situation or place, they should not return to it. It implies the importance of progress and not dwelling on the past.",0.8,2.414578914642334,He was a man of many talents.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",1.5056822299957275,Aikharia mbia ta njigi.,1.0330829620361328,2025-10-06T23:36:53.011615,1
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,Whoever has much always wants more.,"```json
{
    ""translation"": ""One does not harvest what they did not plant."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of effort and preparation in achieving success. It reflects the Kikuyu belief that hard work and dedication are essential for reaping rewards, underscoring the value of proactive engagement in one's endeavors."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb serves as a reminder that success is not accidental; it requires planning, investment of time and resources, and consistent effort. Entrepreneurs are encouraged to lay a solid foundation before expecting returns, highlighting the importance of strategic planning and perseverance."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,3.5901269912719727,One does not forget a wound just because it has healed.,"This translation captures the essence of the proverb, which suggests that even when something painful has passed, the memory and impact of that experience remain. It emphasizes the importance of acknowledging past experiences and their lasting effects.",0.9,3.598006010055542,He was a man of many talents.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",0.8483841419219971,Aikharia mbia ta njigi.,0.9452769756317139,2025-10-06T23:37:01.994517,2
MW_002,Andu ni indo.,People are wealth.,,"```json
{
    ""translation"": ""People are the essence."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of community and relationships in Kikuyu culture. It reflects the belief that individuals are interconnected and that the strength of a community lies in its people. It highlights the value of collaboration, mutual support, and the idea that success is not solely an individual achievement but a collective effort."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb underscores the significance of building strong networks and relationships. It suggests that successful ventures are often those that prioritize teamwork, community engagement, and the well-being of all stakeholders. Entrepreneurs are encouraged to invest in their relationships with employees, customers, and partners, recognizing that a supportive community can lead to greater innovation and resilience."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,4.993974924087524,People are the essence.,This translation captures the idea that individuals or community members are fundamental to the identity and value of a society. The proverb emphasizes the importance of human relationships and connections in Kikuyu culture.,0.8,1.710519790649414,People are things.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",1.1912109851837158,And touch it indo.,0.3486661911010742,2025-10-06T23:37:10.239901,3
MW_002,Andu ni indo.,People are wealth.,,"```json
{
    ""translation"": ""People are wealth."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of community and relationships in Kikuyu culture. It reflects the belief that the true value of life lies in the connections we make with others, and that mutual support and collaboration are essential for prosperity."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb highlights the significance of networking, partnerships, and teamwork. Successful ventures are often built on strong relationships, where individuals support each other to achieve common goals, reinforcing the idea that collective effort leads to greater success than individual pursuits."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,9.600312232971191,People are like a mirror.,"This translation captures the essence of the proverb, suggesting that individuals reflect the qualities, behaviors, and values of those around them, much like a mirror reflects an image. It emphasizes the interconnectedness of people and the influence they have on one another.",0.8,2.477536916732788,People are things.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",1.0362849235534668,And touch it indo.,0.9202501773834229,2025-10-06T23:37:24.275351,4
MW_003,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy,,"```json
{
    ""translation"": ""A community thrives when its members support one another."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of unity and collaboration within the Kikuyu community. It reflects the belief that collective effort and mutual support lead to prosperity and resilience, highlighting the interconnectedness of individuals within the community."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb underscores the value of networking, partnerships, and community support. Successful businesses often rely on strong relationships and collaboration, suggesting that entrepreneurs should foster connections and work together to achieve common goals."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,2.7403981685638428,A country that is not united will not prosper.,"This translation captures the essence of the proverb, emphasizing the importance of unity for the success and prosperity of a community or nation. The original Kikuyu phrase suggests that without cohesion and collaboration among its people, a society will struggle to thrive.",0.9,2.0735459327697754,Sleeping with a dog is not a good thing.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",1.4441628456115723,Burundi and I am telling us a god.,1.4133110046386719,2025-10-06T23:37:31.948021,5
MW_003,Cia arume (indo) ciuragira kuingi.,Men’s property gets lost in many places.,,"```json
{
    ""translation"": ""The work of a man is best seen in his actions."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of tangible results and actions over mere words or intentions. In Kikuyu culture, there is a strong belief that one's true character and capabilities are revealed through what they do, not just what they say. It reflects the value placed on hard work, accountability, and the significance of demonstrating one's abilities through concrete achievements."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb underscores the necessity for entrepreneurs to focus on delivering results and building a reputation through their actions. It serves as a reminder that successful business practices are rooted in consistent effort and the ability to follow through on commitments, which can lead to trust and credibility with clients and partners."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,3.27197265625,The words of men (or husbands) are often disregarded.,"This translation captures the essence of the proverb, suggesting that the opinions or advice of men may not be taken seriously or may be overlooked by others. It reflects a cultural context where gender dynamics and the value placed on male perspectives can be significant.",0.8,2.2529590129852295,The male (indo) is more prone to death.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",1.5529909133911133,CIA ONE (IND) Cirargia Kuingi.,1.4181838035583496,2025-10-06T23:37:40.445127,6
MW_004,Cia arume (indo) ciuragira kuingi.,Men’s property gets lost in many places.,,"```json
{
    ""translation"": ""The work of men (or the efforts of men) brings forth abundance."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of hard work and collective effort in achieving success. In Kikuyu culture, it reflects the belief that diligence and collaboration among men lead to prosperity and well-being for the community. It underscores the value placed on labor and the idea that success is often a result of shared endeavors."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb highlights the significance of teamwork and the collective effort required to achieve business goals. It suggests that successful ventures are built on collaboration, where each member's contributions are vital to the overall success. Entrepreneurs can draw inspiration from this wisdom to foster a culture of cooperation and shared responsibility within their teams, ultimately leading to greater productivity and success."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,3.733643054962158,The words of men (or boys) are often misleading.,"This translation captures the essence of the proverb, which suggests that one should be cautious about trusting what is said by men, as their words may not always reflect the truth or reality. It emphasizes the idea that intentions and promises can be deceptive.",0.8,2.27325177192688,The male (indo) is more prone to death.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",0.8565073013305664,CIA ONE (IND) Cirargia Kuingi.,0.3872370719909668,2025-10-06T23:37:47.696827,7
MW_004,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy.,Political stability facilitates wealth.,"```json
{
    ""translation"": ""A community that is united will not be easily defeated."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of unity and collaboration within the Kikuyu community. It reflects the belief that collective strength and support lead to resilience and success, highlighting the value of working together towards common goals."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb underscores the significance of teamwork, partnerships, and community support. Successful ventures often rely on collaboration and shared resources, suggesting that businesses thrive when they foster strong relationships and a sense of community among stakeholders."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,1.7569148540496826,A country that is not united will not prosper.,"This translation captures the essence of the proverb, which emphasizes the importance of unity and collaboration within a community or nation for achieving success and prosperity. The original Kikuyu phrase suggests that disunity leads to failure, reflecting a cultural value placed on togetherness and collective effort.",0.9,1.3668999671936035,Sleeping with a dog is not a good thing.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",0.9114313125610352,Burundi and I am telling us a god.,2.023292064666748,2025-10-06T23:37:53.756411,8
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,,"```json
{
    ""translation"": ""What is not tasted does not fill the stomach."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of experience and practical engagement in life. It reflects the Kikuyu belief that one must actively participate and try things out to truly understand and benefit from them. It underscores the value of hands-on experience over mere theoretical knowledge."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb highlights the necessity of taking risks and experimenting with ideas. Entrepreneurs are encouraged to test their concepts in the market rather than just planning or theorizing. Success often comes from learning through doing, which can lead to innovation and growth."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,4.818217039108276,What is not tasted cannot be known.,"This translation captures the essence of the proverb, which emphasizes the importance of experience and firsthand knowledge. It suggests that one cannot fully understand or appreciate something without having experienced it directly.",0.9,3.269188165664673,The brightness is not left alive/untouched.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",1.5602397918701172,You have you do it.,1.400334119796753,2025-10-06T23:38:04.805392,9
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,A poor man is unable to obtain any more than he possesses.,"```json
{
    ""translation"": ""The taste of the fruit is not known until it is eaten."",
    ""cultural_meaning"": ""This proverb emphasizes the importance of experience and firsthand knowledge. In Kikuyu culture, it reflects the belief that true understanding comes from direct involvement rather than hearsay. It encourages individuals to engage actively in life and learn through personal experiences."",
    ""business_relevance"": ""In the context of business and entrepreneurship, this proverb underscores the necessity of taking risks and trying new ventures. Entrepreneurs must engage with their ideas and markets directly to truly understand their potential and challenges. It highlights the value of experiential learning in making informed decisions and fostering innovation."",
    ""confidence_score"": 0.95
}
```",Generated with OG-RAG enhanced context,,0.7,4.820856809616089,What is not tasted cannot be known.,"This translation captures the essence of the proverb, which suggests that one cannot truly understand or appreciate something without experiencing it firsthand. It emphasizes the importance of personal experience in gaining knowledge or insight.",0.9,1.7407889366149902,The brightness is not left alive/untouched.,"{""model"": ""facebook/nllb-200-distilled-1.3B"", ""provider"": ""winstxnhdw-nllb-api"", ""api_version"": ""v4"", ""api_url"": ""https://winstxnhdw-nllb-api.hf.space/api/v4/translator"", ""source_lang"": ""kik_Latn"", ""target_lang"": ""eng_Latn"", ""training_data"": ""FLORES-200"", ""backend"": ""CTranslate2""}",0.8406031131744385,You have you do it.,1.667423963546753,2025-10-06T23:38:13.876130,10
