proverb_id,kikuyu_text,expert_translation,expert_cultural_meaning,openai_translation,openai_reasoning,openai_confidence,openai_time,cohere_translation,cohere_reasoning,cohere_confidence,cohere_time,nllb_translation,nllb_confidence,nllb_time,google_translation,google_time,timestamp
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,Whoever has much always wants more.,A bird does not fly with two wings.,"This Kikuyu proverb suggests that one cannot achieve certain things alone and implies the importance of collaboration or support from others. The metaphor of a bird needing both wings to fly effectively conveys this idea. The phrase 'mbia ta njuu ngigi' translates to 'does not fly with two wings,' which aligns with the concept of needing assistance or partnership to succeed.",0.8,7.059759855270386,A patient person will always succeed.,"The Kikuyu proverb 'Aikaragia mbia ta njuu ngigi' literally translates to 'Patience puts the bird on the branch.' This proverb emphasizes the virtue of patience and its reward. The image of a bird landing on a branch is used metaphorically to signify success or achievement. Therefore, the English translation captures the essence of the Kikuyu proverb by stating that patience will inevitably lead to success.",0.95,2.42113995552063,He was a man of many talents.,0.85,2.9348831176757812,Aikharia mbia ta njigi.,4.113248109817505,2025-10-07T01:12:36.683299
MW_002,Andu ni indo.,People are wealth.,,People are like a mirror.,"The Kikuyu proverb 'Andu ni indo' suggests that individuals reflect the qualities, behaviors, and attitudes of those around them, much like a mirror reflects an image. This interpretation emphasizes the interconnectedness of people and how they influence each other. The phrase captures the essence of social relationships and the idea that one's character can be shaped by their community.",0.85,3.4985578060150146,A pot is not a home.,"The Kikuyu proverb 'Andu ni indo' literally translates to 'Pot is home.' However, the meaning is metaphorical. In Kikuyu culture, a pot (andu) is used for cooking and storing food, but it doesn't represent a home (indo) in its entirety. Therefore, the proverb emphasizes that something essential (like a pot) doesn't define the whole (like a home). It suggests that just because someone has one important aspect of life doesn't mean they have everything.",0.9,2.256197929382324,People are things.,0.85,1.3152027130126953,And touch it indo.,0.9422867298126221,2025-10-07T01:12:44.696829
MW_003,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy,,A country is not built by a single person.,"The proverb emphasizes the importance of collective effort in nation-building, suggesting that it takes a community or a group of people to create and sustain a society. The word 'bururi' refers to 'country' or 'nation,' while 'ngui' implies 'not' or 'no one,' and 'ndungiciarikira indo' translates to 'builds it alone.' Thus, the translation captures the essence of collaboration and shared responsibility in the context of societal development.",0.9,4.496818780899048,A person who does not listen to advice will face the consequences.,The Kikuyu proverb 'Bururi uri ngui ndungiciarikira indo' literally translates to 'An ear that does not listen to advice will be filled with dirt.' The proverb emphasizes the importance of heeding advice to avoid negative outcomes. The English translation captures this meaning by stating that one who ignores advice will eventually face the consequences of their actions.,0.9,1.8714487552642822,Sleeping with a dog is not a good thing.,0.85,5.806331157684326,Burundi and I am telling us a god.,1.0526268482208252,2025-10-07T01:12:57.925154
MW_004,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy.,Political stability facilitates wealth.,A country that is not united will not prosper.,"The proverb emphasizes the importance of unity within a community or nation for achieving success and prosperity. The word 'bururi' refers to a country or community, 'uri ngui' implies unity or togetherness, and 'ndungiciarikira indo' suggests the idea of prosperity or thriving. Thus, the translation captures the essence of the proverb's message about the necessity of unity for progress.",0.85,2.7569494247436523,A stubborn person will always find an excuse.,"The Kikuyu proverb 'Bururi uri ngui ndungiciarikira indo' can be broken down as follows: 'Bururi' means 'stubbornness' or 'hard-headedness', 'uri ngui' can be interpreted as 'a person like that' or 'a stubborn individual', and 'ndungiciarikira indo' translates to 'will always find an excuse'. The proverb highlights the tendency of stubborn individuals to rationalize their actions or inactions by finding excuses, regardless of the circumstances.",0.9,2.548130989074707,Sleeping with a dog is not a good thing.,0.85,1.1163513660430908,Burundi and I am telling us a god.,0.9273788928985596,2025-10-07T01:13:05.275015
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,A poor man is unable to obtain any more than he possesses.,The one who does not taste the food will not know its flavor.,"This proverb conveys the idea that without experiencing something firsthand, one cannot truly understand or appreciate it. The metaphor of tasting food is used to illustrate the importance of direct experience in gaining knowledge or insight.",0.9,3.6952970027923584,A person who is not contented with what they have will always be poor.,The Kikuyu proverb 'Cia kionje itigayagwo kiri muoyo/gitanakua' literally translates to 'The one who is not satisfied with what he/she has will always be poor.' The phrase 'kiri muoyo' or 'gitanakua' refers to being poor or lacking. 'Itigayagwo' means 'will always be'. The overall meaning emphasizes the importance of being grateful for what one has and that constant desire for more leads to perpetual poverty.,0.95,2.749903917312622,The brightness is not left alive/untouched.,0.85,1.6401700973510742,You have you do it.,0.903451681137085,2025-10-07T01:13:14.264933
MW_006,Cia thuguri itiyuragia ikumbi,Bought things do not fill the granary.,One must work hard to achieve wealth.,A small stream does not forget its source.,"This translation captures the essence of the proverb, which emphasizes the importance of remembering one's origins or roots, similar to how a small stream is always connected to the larger body of water it comes from. The imagery of a stream suggests continuity and the idea that no matter how small or far one may go, the source remains significant.",0.9,1.587472915649414,A patient person will always win the race.,"The Kikuyu proverb 'Cia thuguri itiyuragia ikumbi' literally translates to 'The patient one wins the race.' The proverb emphasizes the virtue of patience and persistence, suggesting that someone who is patient and steady will ultimately succeed, even in the face of challenges or slower progress compared to others.",0.95,1.9342529773712158,The robbers do not fill the room,0.85,2.3202099800109863,Cia thuguri itiyuragia ikumbi,2.6989099979400635,2025-10-07T01:13:22.806771
MW_007,Ciira muingi/munene ni ukia.,A long lawsuit brings poverty.,Be quick to forgive.,A big mouth is a sign of trouble.,"The proverb suggests that those who speak excessively or boastfully often attract problems or difficulties. The phrase 'big mouth' metaphorically refers to someone who talks too much or brags, while 'sign of trouble' indicates the consequences of such behavior. This captures the essence of the Kikuyu saying in a way that is understandable in English.",0.85,2.4306607246398926,A patient person eats the best meat.,"The Kikuyu proverb 'Ciira muingi/munene ni ukia' literally translates to 'The patient one, the best meat (he/she) eats'. The meaning is metaphorical, conveying that patience leads to better outcomes, symbolized by getting the choicest part of the meat after a long wait. The English translation aims to capture this essence, highlighting the reward that patience brings.",0.9,2.085088014602661,The most important sentence is ukia.,0.85,1.6077649593353271,Your rules/where are.,0.40740013122558594,2025-10-07T01:13:29.339998
MW_008,Ciringi imurikagwo na ingi.,"To get money, you have to spend money.","Use money, make money.",A single tree does not make a forest.,"This proverb emphasizes the importance of community and collaboration, suggesting that individual efforts alone are insufficient to achieve larger goals, much like how a forest is made up of many trees rather than just one. The phrase 'Ciringi imurikagwo na ingi' conveys a similar sentiment about the necessity of collective contributions.",0.9,2.5547330379486084,A patient person will always succeed.,"The Kikuyu proverb 'Ciringi imurikagwo na ingi' literally translates to 'Patience bears fruit in the end.' The saying emphasizes the virtue of patience and its reward, which is success. It encourages perseverance and waiting for the right time to achieve one's goals.",0.95,1.645442247390747,The circle is illuminated by other light.,0.85,1.6332111358642578,Blessed is the savior and a lot.,0.9550909996032715,2025-10-07T01:13:36.129779
MW_009,Gicigo kia mugunda gitinyihaga.,A piece of land is not a little thing.,"Life has no rest, only toil.",The farmer's work does not go unnoticed.,"The proverb emphasizes the idea that the efforts and hard work of a farmer (or anyone who puts in effort) are eventually recognized or rewarded. It reflects the value of diligence and the acknowledgment of one's contributions, suggesting that good work will bear fruit in time.",0.9,2.6465790271759033,A patient person will always succeed.,The Kikuyu proverb 'Gicigo kia mugunda gitinyihaga' literally translates to 'The patience of a mugunda (a type of bird) will bear fruit.'  The mugunda bird is known for its patience in waiting for food. This proverb emphasizes the virtue of patience and its reward.  The English translation captures this essence by stating that patience guarantees success.,0.9,3.536860227584839,The mountain is trembling.,0.85,4.94170069694519,Gicigo Kia Mugunda Gitinyiwa.,0.33978700637817383,2025-10-07T01:13:47.595923
MW_010,Githaka ni ngwatira.,Land is inalienable (from the clan).,Owning property is a right.,A good deed is a lasting bond.,"The Kikuyu proverb 'Githaka ni ngwatira' suggests that acts of kindness or good deeds create strong connections among people. The word 'githaka' refers to good deeds or actions, while 'ngwatira' implies a bond or connection. Thus, the translation captures the essence of the proverb, emphasizing the enduring nature of positive actions in relationships.",0.85,2.7294278144836426,The early bird catches the worm.,"The Kikuyu proverb 'Githaka ni ngwatira' translates to 'The early bird catches the worm' in English. This is a common saying in many cultures, emphasizing the advantage of starting early or being proactive in order to achieve success or gain opportunities. The reasoning behind this translation is that 'Githaka' refers to a bird, and 'ngwatira' means 'to catch the worm', directly paralleling the English proverb.",0.95,2.1219582557678223,The soil is a pothole.,0.85,1.4610438346862793,Githaka is my beter.,0.4119410514831543,2025-10-07T01:13:54.321304
