proverb_id,bleu_raw,bleu_trad_rag,bleu_ograg
MW_001,3.3864985683445354,4.456882760699064,9.030367376343264
MW_002,100.00000000000004,100.00000000000004,22.957488466614326
MW_003,2.627961710408444,3.7477767366779213,4.767707020457095
MW_004,3.125190763972442,4.456882760699064,4.456882760699064
MW_005,6.43716525407242,6.660796230730557,7.491281958423804
MW_006,4.065425428798724,5.522397783539471,36.55552228545123
MW_007,8.116697886877475,8.116697886877475,7.809849842300641
MW_008,4.278179264606695,4.266331692956901,27.75806054476852
MW_009,5.300156689756297,6.082317172853827,17.0653267718276
MW_010,5.795599612995366,6.413885305524152,11.708995388048026
MW_011,3.2149545730574576,7.574347133041985,4.069582841180383
MW_012,1.18271569172795,0.3756625385528342,0.9298395269585749
MW_013,9.980099403873663,5.8689248188165335,6.27465531099474
MW_014,5.6578916063256015,5.097103985522972,4.496618206730099
MW_015,3.1157290929555894,3.211547431691929,3.0372940354383413
MW_016,5.815868174415823,5.815868174415823,4.767707020457095
MW_017,2.41596535992123,2.41596535992123,1.5330462064343475
MW_018,5.854497694024015,6.4790667469036025,5.795599612995366
MW_019,8.643019616048525,6.567274736060396,7.809849842300641
MW_020,22.613617379612148,33.47189874003769,36.02987000845595
MW_021,11.044795567078939,11.044795567078939,4.196114906296549
MW_022,3.3864985683445354,3.7477767366779213,3.817681337429047
MW_023,3.097704314134564,3.097704314134564,2.882738686795162
MW_024,7.347053125977879,15.187207110382285,4.02724819242185
MW_025,17.965205598154213,7.809849842300641,23.643540225079395
MW_026,4.02724819242185,4.990049701936832,5.061867434834413
MW_027,4.767707020457095,5.522397783539471,4.767707020457095
MW_028,0.0,0.0,0.0
MW_029,7.267884212102741,10.40059768900531,6.567274736060396
MW_030,13.134549472120794,27.48254571080018,15.207218222740094
MW_031,3.125190763972442,3.9832534781768225,3.3495035708457803
MW_032,7.073666451977357,3.1795892263857453,7.40354787297858
MW_033,6.567274736060395,6.567274736060395,13.134549472120794
MW_034,2.8603449943861583,2.8398387225677895,3.4015426186864377
MW_035,34.98330125272251,34.98330125272251,34.98330125272251
MW_036,4.069582841180383,3.8232468526904646,3.8232468526904646
MW_037,4.540013809283726,16.058516370438436,16.807407519804237
MW_038,4.540013809283726,16.058516370438436,4.456882760699064
MW_039,2.4779853471705344,4.929297364398415,3.0718556915387483
MW_040,3.716499092256818,5.61480827173619,5.087641220727392
MW_041,7.270717733704594,3.8902180856807296,3.8902180856807296
MW_042,2.445593937240363,8.29519350710986,10.923299908191149
MW_043,4.767707020457095,4.02724819242185,23.462350320527996
MW_044,10.552670315936318,43.167001068522524,14.25876976452075
MW_045,10.552670315936318,14.535768424205482,6.567274736060396
MW_046,2.028802809405136,3.732910952137789,2.383435987623428
MW_047,4.85851417160653,8.639795714750207,4.4959869933858485
MW_048,3.9832534781768225,3.4162113597999784,3.550932348642477
MW_049,2.58939299545004,1.1245928245158625,2.242872568617871
MW_050,3.5114603692955577,3.5114603692955577,3.320934179608466
MW_051,8.29519350710986,10.552670315936318,9.287528999566801
MW_052,9.980099403873663,25.965358893403383,31.55984539112945
MW_053,6.646016289550872,4.141141330484801,6.019608768705656
MW_054,4.237713199752784,2.604848453271721,5.10809933294318
MW_055,3.3142882018868014,3.673526562988939,4.100530090638893
MW_056,4.278179264606695,4.278179264606695,4.300847718252331
MW_057,4.278179264606695,4.278179264606695,4.167251645138561
MW_058,17.965205598154213,23.643540225079395,23.643540225079395
MW_059,17.747405280050266,8.130850857597448,5.653041175801492
MW_060,3.221515452693472,6.053236275429152,2.910967817713898
MW_061,5.522397783539471,22.089591134157878,26.269098944241588
MW_062,6.27465531099474,35.49481056010054,19.070828081828378
MW_063,6.770186228657867,6.770186228657867,6.567274736060396
MW_064,3.673526562988939,3.21858262703621,4.02724819242185
MW_065,8.643019616048525,7.809849842300641,4.456882760699064
MW_066,9.042266054940777,8.643019616048525,8.643019616048525
MW_067,4.419021106340002,7.817610446892725,7.817610446892725
MW_068,0.0,0.0,0.0
MW_069,3.673526562988939,3.696719741302181,6.9161417925511355
MW_070,7.267884212102741,4.767707020457095,10.552670315936318
MW_071,4.990049701936832,4.990049701936832,4.932351569489709
MW_072,0.0,0.0,0.0
MW_073,3.7477767366779213,4.767707020457095,3.7477767366779213
MW_074,8.493098745313143,6.054630691682828,6.344849033136086
MW_075,9.030367376343264,4.996872151825361,5.0243511979240845
MW_076,2.8398387225677895,4.196114906296549,4.266331692956901
